rank,score,sector,business_name,city,location_detail,address,email,phone,website,instagram,type_style,size,fit_flag,notes,pipeline_stage,next_action,source_file
11,6,Ristorante,La Conserverie Bordeaux,Bordeaux,Chartrons,"60 rue Notre-Dame, 33000 Bordeaux",laconserverie.bdx@gmail.com,+33 5 56 11 39 68,,@laconserverie_bordeaux,Épicerie Fine / Cantine,Indipendente,✅ Sì,"Conserve artigianali e cantine nel cuore dei Chartrons, colori vivaci fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
12,6,Ristorante,MOGA,Bordeaux,Centre,"2 rue des Remparts, 33000 Bordeaux",contact@moga-bordeaux.com,+33 5 56 81 33 00,moga-bordeaux.com,@moga_bordeaux,Café / Concept Store,Indipendente,✅ Sì,"Concept store caffè, moda e arte nel centro storico, ambiente curatoriale",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
13,6,Ristorante,Casa Pepa,Bordeaux,Saint-Michel,"10 place Canteloup, 33000 Bordeaux",casapepa.bordeaux@gmail.com,+33 5 56 91 32 21,,@casapepa_bordeaux,Spanish / Tapas,Indipendente,✅ Sì,"Tapas spagnole in Place Canteloup nel quartiere Saint-Michel, terrasse pittoresca",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
14,6,Ristorante,Le Petit Commerce,Bordeaux,Saint-Pierre,"22 rue du Parlement Saint-Pierre, 33000 Bordeaux",contact@lepetitcommerce.fr,+33 5 56 79 76 58,lepetitcommerce.fr,@lepetitcommerce_bordeaux,Seafood / Fruits de Mer,Indipendente,✅ Sì,"Fruits de mer en Vieille Ville, plateau d'huîtres e vista su ruelle médiévale",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
15,6,Ristorante,Cabane Ganzul,Bordeaux,Estuaire / Blanquefort,"1 quai Léon Blum, 33290 Blanquefort",contact@cabaneganzul.fr,+33 5 56 35 30 62,cabaneganzul.fr,@cabaneganzul,Seafood / Ostréiculteur,Indipendente,✅ Sì,"Cabane ostréicole sull'estuario della Gironda, ostriche sul pontile da foto",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
16,6,Ristorante,Akashi Bordeaux,Bordeaux,Chartrons,"105 rue du Palais Gallien, 33000 Bordeaux",akashi.bordeaux@gmail.com,+33 5 56 67 46 51,,@akashi_bordeaux,Japanese / Sushi,Indipendente,✅ Sì,"Sushi di qualità nei Chartrons, nigiri e maki presentati con cura",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
17,6,Ristorante,Bar du Boucher,Bordeaux,Saint-Pierre,"8 rue Parlement Saint-Pierre, 33000 Bordeaux",barduboucher.bdx@gmail.com,+33 5 56 52 41 71,,@barduboucher_bordeaux,Wine Bar / Charcuterie,Indipendente,✅ Sì,"Bar à vins et charcuterie en Vieille Ville, planches fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
18,6,Ristorante,L'Atelier des Quais,Bordeaux,Bastide,"52 quai de la Souys, 33100 Bordeaux",contact@atelierdesquais.fr,+33 5 56 86 26 61,atelierdesquais.fr,@atelierdesquais,Restaurant / Vue Garonne,Indipendente,✅ Sì,Ristorante sulla riva opposta con vista panoramica su Bordeaux e Pont de Pierre,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
19,6,Ristorante,Les Halles Bacalan,Bordeaux,Bacalan,"152 quai de Bacalan, 33000 Bordeaux",contact@hallesbacalan.fr,+33 5 24 61 88 74,hallesbacalan.fr,@hallesbacalan,Marché Couvert / Food Hall,Indipendente,✅ Sì,"Mercato food hall vicino alla Cité du Vin, stand artigiani fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
20,6,Ristorante,Cent33,Bordeaux,Centre,"133 rue Saint-Rémi, 33000 Bordeaux",contact@cent33.fr,+33 5 56 44 55 44,cent33.fr,@cent33_bordeaux,Brunch / Café,Indipendente,✅ Sì,"Café brunch nel cuore di Bordeaux, interni luminosi e piatti colorati",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
21,6,Ristorante,Cé Moi,Bordeaux,Chartrons,"18 quai des Chartrons, 33000 Bordeaux",cemoi.bordeaux@gmail.com,+33 5 56 23 80 48,,@cemoi_bordeaux,Café / Pâtisserie,Indipendente,✅ Sì,"Caffè e pasticceria sui quais des Chartrons, torte e vista sul fleuve",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
22,6,Ristorante,Le Glouton,Bordeaux,Saint-Michel,"34 rue Sainte-Colombe, 33000 Bordeaux",contact@leglouton-bordeaux.fr,+33 5 56 30 00 38,,@leglouton_bordeaux,Bistro / Natural Wine,Indipendente,✅ Sì,Bistrot e cave à manger naturel nel quartiere Saint-Michel,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
23,6,Ristorante,Burdigala Wine Bar,Bordeaux,Centre,"115 rue Georges Bonnac, 33000 Bordeaux",winebarburdigala@gmail.com,+33 5 56 90 16 16,,@burdigala_wines,Wine Bar,Indipendente,✅ Sì,"Enoteca con selezione premium vini di Bordeaux, design contemporaneo",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
24,6,Ristorante,Le Boulier,Bordeaux,Chartrons,"47 rue Notre-Dame, 33000 Bordeaux",leboulier.bordeaux@gmail.com,+33 5 56 79 12 93,,@leboulier_bordeaux,Brasserie / Terrasse,Indipendente,✅ Sì,Brasserie con grande terrasse nel quartiere Notre-Dame dei Chartrons,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
25,6,Ristorante,Cantine & Sens,Bordeaux,Bastide,"23 quai de la Souys, 33100 Bordeaux",cantineandsens@gmail.com,+33 5 56 51 84 21,,@cantineandsens,Café / Healthy / Brunch,Indipendente,✅ Sì,Cantine healthy nella Bastide con terrasse sulla Garonna,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
26,6,Ristorante,Chefs de la Cité,Bordeaux,Centre / Bassins,"60 quai des Marques, 33300 Bordeaux",chefsdelacite.bdx@gmail.com,+33 5 56 00 23 41,,@chefsdelacite_bdx,Brunch / Healthy / Tendance,Indipendente,✅ Sì,Brunch e cucina healthy con ingredienti locali vicino ai Bassins à Flot,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
27,6,Ristorante,Papilles & Pupilles Restaurant,Bordeaux,Chartrons,"19 rue Ausone, 33000 Bordeaux",contact@papillesenpupilles-restaurant.fr,+33 5 56 81 29 47,papillesenpupilles-restaurant.fr,@papillesenpupilles,Cave à Manger / Gastronomique,Indipendente,✅ Sì,Ristorante di qualità collegato alla famosa blogzine di vini e cucina,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
28,6,Ristorante,Bistrot Belharra,Bordeaux,Capucins,"14 rue de la Devise, 33000 Bordeaux",bistrotbelharra@gmail.com,+33 5 56 52 28 36,,@bistrotbelharra,Surf / Basque / Brunch,Indipendente,✅ Sì,"Spirito surf e cucina basca nel cuore di Bordeaux, décor maritime fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
29,6,Ristorante,Nüfish,Bordeaux,Centre,"4 rue de la Vieille Tour, 33000 Bordeaux",nufish.bordeaux@gmail.com,+33 5 57 83 23 48,,@nufish_bordeaux,Japanese / Poke / Sushi,Piccola catena,✅ Sì,"Poke bowl e sushi moderni nel centro, colorati e instagrammabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
30,6,Ristorante,Rick's Café,Casablanca,Ancienne Médina,"248 blvd Sour Jdid, Ancienne Médina, Casablanca",reservation@rickscafe.ma,+212 5 22 27 42 07,rickscafe.ma,@rickscafe_casablanca,American / Lounge / Bar,Indipendente,✅ Sì,"Iconica riproduzione del film Casablanca, courtyard marocain e atmosphere hollywoodiana",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
31,6,Ristorante,La Sqala,Casablanca,Ancienne Médina,"Blvd des Almohades, Ancienne Médina, Casablanca",lasqala@lasqala.ma,+212 5 22 26 09 60,lasqala.ma,@lasqala_casablanca,Marocain / Terrasse Historique,Indipendente,✅ Sì,"Ristorante nel bastione portoghese del 18° sec, giardino andaluso fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
32,6,Ristorante,Le Cabestan,Casablanca,Ain Diab / Corniche,"Blvd de la Corniche, Ain Diab, Casablanca",info@lecabestan.com,+212 5 22 39 11 90,lecabestan.com,@lecabestan_casa,Seafood / Vue Océan,Indipendente,✅ Sì,Ristorante di pesce sulla Corniche con terrasse e vista oceano Atlantico,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
33,6,Ristorante,La Bodega,Casablanca,Bourgogne,"129 rue Allah ben Abdallah, Casablanca",contact@labodega.ma,+212 5 22 54 18 42,labodega.ma,@labodega_casa,Spanish / Tapas / Flamenco,Piccola catena,✅ Sì,"Tapas spagnole e flamenco, décor colorato e atmosfera festiva fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
34,6,Ristorante,Blanco Riad,Casablanca,Ancienne Médina,"10 rue Ibn Zidon, Médina, Casablanca",contact@blancoriad.com,+212 6 61 28 92 54,blancoriad.com,@blancoriad,Marocain / Riad / Rooftop,Indipendente,✅ Sì,"Riad bianco con tetto terrazza e vista sulla Médina, zellige e archi fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
35,6,Ristorante,Café OuiOui,Casablanca,Gauloise,"Blvd d'Anfa, Gauloise, Casablanca",contact@cafe-ouioui.ma,+212 5 22 39 76 54,cafe-ouioui.ma,@cafeouioui_casa,Café / Brunch / Coloré,Indipendente,✅ Sì,"Caffè e brunch colorato con interior floreale, uno dei più instagrammabili di Casa",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
36,6,Ristorante,Le Rouget de l'Isle,Casablanca,Bourgogne,"6 rue Ibn Toumert, Casablanca",rougetdelisle@gmail.com,+212 5 22 47 48 15,,@rougetdelisle_casa,French / Bistro,Indipendente,✅ Sì,"Bistrot francese nel quartiere Bourgogne, cuisine du marché e vini selezionati",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
37,6,Ristorante,Ô Jardin des Délices,Casablanca,Racine,"9 rue Mozart, Racine, Casablanca",jardindesdelices@gmail.com,+212 5 22 36 24 62,,@jardindesdelices_casa,Marocain / Jardin,Indipendente,✅ Sì,"Giardino ristorante con fontane e piante, cucina marocchina in ambiente zen",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
38,6,Ristorante,La Conserve,Casablanca,Racine,"6 rue Jilali Laâroussi, Racine, Casablanca",laconserve.casa@gmail.com,+212 5 22 36 81 44,,@laconserve_casa,French / Bistro Parisien,Indipendente,✅ Sì,"Bistrot parigino nel quartiere Racine, ardoise e vini selezionati fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
39,6,Ristorante,L'Atelier du Gourmand,Casablanca,Anfa,"3 rue Traktir, Anfa, Casablanca",atelierdugurmand@gmail.com,+212 5 22 36 15 30,,@atelierdugurmand_casa,French / Gastronomique,Indipendente,✅ Sì,Atelier gastronomique con presentazioni artistiche in villa di Anfa,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
40,6,Ristorante,Pots & Pans,Casablanca,Gauthier,"2 rue d'Agadir, Gauthier, Casablanca",potsandpans.casa@gmail.com,+212 5 22 26 11 44,,@potsandpans_casa,Brunch / Café / Instagrammable,Indipendente,✅ Sì,"Brunch trendy nel Gauthier con interior botanico, piante e colori vivaci",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
41,6,Ristorante,Numero Siete,Casablanca,Maarif,"7 rue Mhamid, Maarif, Casablanca",numerosiete.casa@gmail.com,+212 5 22 99 18 37,,@numerosiete_casa,Spanish / Tapas Modernas,Indipendente,✅ Sì,"Tapas spagnole moderne nel Maarif, pintxos colorati e cocktails fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
42,6,Ristorante,L'Adresse,Casablanca,Gauthier,"8 rue Abou Abdellah Assouli, Gauthier, Casablanca",ladresse.casa@gmail.com,+212 5 22 27 97 54,,@ladresse_casa,Marocain Moderne / Fusion,Indipendente,✅ Sì,"Cucina marocchina moderna con fusion internationale, presentazioni artistiche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
43,6,Ristorante,Le Bistro d'Anfa,Casablanca,Anfa,"20 blvd de l'Océan, Casablanca",bistrodanfa@gmail.com,+212 5 22 36 78 52,,@bistrodanfa_casa,French Bistro / Art Déco,Indipendente,✅ Sì,"Bistrot con décor Art Déco nel quartiere Anfa, interni anni '30 fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
44,6,Ristorante,Ô Bistrot,Casablanca,Racine,"36 rue Mohamed Diouri, Racine, Casablanca",obistrot.casa@gmail.com,+212 5 22 36 80 46,,@obistrot_casa,French / Casual Fine Dining,Indipendente,✅ Sì,"Bistrot gastronomique accessible nel quartiere Racine, qualità e fotogenia",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
45,6,Ristorante,La Maison de la Tagine,Casablanca,Bourgogne,"42 rue Jean Jaurès, Bourgogne, Casablanca",maisontagine@gmail.com,+212 5 22 46 76 84,,@maisontagine_casa,Marocain / Traditionnel,Indipendente,✅ Sì,"Tagine in tajine di terracotta colorata, servizio tradizionale fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
46,6,Ristorante,Fenicia,Casablanca,Corniche,"14 blvd de la Corniche, Casablanca",fenicia.casa@gmail.com,+212 5 22 39 88 66,,@fenicia_casa,Lebanese / Mediterranean,Indipendente,✅ Sì,"Cucina libanese sulla Corniche, mezzé colorati e vista oceano fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
47,6,Ristorante,Bab El Makhzen,Casablanca,Gauthier,"5 rue Ibn Batouta, Gauthier, Casablanca",babelmakhzen@gmail.com,+212 5 22 22 89 74,,@babelmakhzen_casa,Marocain Gastronomique,Indipendente,✅ Sì,"Ristorante marocchino in riad moderno nel Gauthier, zellige e stucchi fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
48,6,Ristorante,Patisserie Bennis Habous,Casablanca,Habous,"2 rue Fkih El Gabbas, Habous, Casablanca",bennis.habous@gmail.com,+212 5 22 30 30 25,,@bennis_habous,Pâtisserie Marocaine,Indipendente,✅ Sì,"Pasticceria marocchina storica nell'Habous, cornes de gazelle e msemen fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
49,6,Ristorante,Le Mess,Casablanca,Bourgogne,"50 blvd Rachidi, Casablanca",lemess.casa@gmail.com,+212 5 22 36 55 89,,@lemess_casa,Brunch / Café / Healthy,Indipendente,✅ Sì,"Brunch e cucina healthy nel cuore del Bourgogne, interni luminosi fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
50,6,Ristorante,Dar Zitoun,Casablanca,Anfa,"12 rue des Acacias, Anfa, Casablanca",darzitoun@gmail.com,+212 5 22 36 90 47,,@darzitoun_casa,Marocain / Riad Garden,Indipendente,✅ Sì,Dar con giardino di ulivi centenari nel quartiere residenziale Anfa,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
51,6,Ristorante,Tanaka,Casablanca,Maarif,"2 rue de Turenne, Maarif, Casablanca",tanaka.casa@gmail.com,+212 5 22 99 65 11,,@tanaka_casa,Japanese / Fine Dining,Indipendente,✅ Sì,"Ristorante giapponese fine dining, sushi kaiseki e presentazioni minimaliste",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
52,6,Ristorante,La Villa des Arts Café,Casablanca,Gauthier,"10 blvd Brahim Roudani, Gauthier, Casablanca",villaartsca@gmail.com,+212 5 22 29 50 87,,@villadesarts_cafe,Café / Art Gallery / Culturel,Indipendente,✅ Sì,"Caffè nella galleria d'arte della Villa des Arts, esposizioni fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
53,6,Ristorante,Lolita,Casablanca,Maarif,"Rue Sidi Belyout, Maarif, Casablanca",lolita.casa@gmail.com,+212 5 22 99 12 44,,@lolita_casa,Café / Brunch / Colorful,Indipendente,✅ Sì,"Café e brunch coloratissimo nel Maarif, decorazioni girly e instagrammabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
54,6,Ristorante,Café Cinq Continents,Casablanca,Corniche,"Blvd de la Corniche, Ain Diab, Casablanca",cinqcontinents@gmail.com,+212 5 22 39 24 11,,@cinqcontinents_casa,World Food / Brunch / Vue Mer,Indipendente,✅ Sì,"Cucina del mondo sulla Corniche con vista oceano, fusion fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
55,6,Ristorante,La Belle Époque,Casablanca,Bourgogne,"8 rue Sidi Belyout, Bourgogne, Casablanca",labelleepoque.casa@gmail.com,+212 5 22 47 65 32,,@labelleepoque_casa,French / Brasserie Art Déco,Indipendente,✅ Sì,"Brasserie con décor Belle Époque autentico, specchi dorati e mosaici fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
56,6,Ristorante,Sushi Miyabi,Casablanca,Maarif,"45 rue Mohamed Zerktouni, Casablanca",miyabi.casa@gmail.com,+212 5 22 99 41 27,,@sushimiyabi_casa,Japanese / Sushi Bar,Indipendente,✅ Sì,"Sushi bar moderno con bancone aperto, rolls creativi e presentazioni minimaliste",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
57,6,Ristorante,Café de l'Univers,Casablanca,Bourgogne,"20 rue Allal Ben Abdellah, Casablanca",cafeunivers.casa@gmail.com,+212 5 22 48 90 14,,@cafeunivers_casa,Café / Terrasse / Cocktails,Indipendente,✅ Sì,"Caffè con grande terrasse en plein air nel Bourgogne, aperitivi al tramonto",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
58,6,Ristorante,La Table Marocaine,Casablanca,Ancienne Médina,"27 rue Driss 1er, Médina, Casablanca",tablerocaine.casa@gmail.com,+212 5 22 30 82 49,,@tablerocaine_casa,Marocain / Authentique,Indipendente,✅ Sì,"Cucina marocchina autentica nella Médina, artigianato e zellige fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
59,6,Ristorante,Bloempot,Lille,Vieux-Lille,"22 rue des Bouchers, 59000 Lille",contact@bloempot.fr,+33 3 20 15 49 99,bloempot.fr,@bloempot_lille,Bistronomie / Florent Ladeyn,Indipendente,✅ Sì,"Ristorante dello chef stellato Florent Ladeyn, cucina du terroir e piatti creativi",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
60,6,Ristorante,La Capsule,Lille,Vieux-Lille,"23 rue des Trois Mollettes, 59000 Lille",lacapsule.lille@gmail.com,+33 3 20 06 56 09,,@lacapsule_lille,Natural Wine Bar,Indipendente,✅ Sì,"Bar naturel e cocktail nel Vieux-Lille, muri di bottiglie e atmosfera cave",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
61,6,Ristorante,Manifesto Coffee,Lille,Vieux-Lille,"6 rue Thiers, 59000 Lille",manifesto.coffee@gmail.com,+33 3 20 74 12 43,,@manifestocoffee_lille,Specialty Coffee / Brunch,Indipendente,✅ Sì,"Specialty coffee trendy nel Vieux-Lille, latte art e colazioni fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
